Match,Date,Vs,Ground,How Dismissed,Runs,4s,6s,B/F,S/R
67,17-03-2007,Bangladesh,Queen's Park Oval,c Aftab Ahmed b Mohammad Rafique,0,0,0,3,0
68,19-03-2007,Bermuda,Queen's Park Oval,c J Tucker b D Borden,29,2,1,25,116
69,23-03-2007,Sri Lanka,Queen's Park Oval,lbw b M Muralitharan,0,0,0,1,0
70,10-05-2007,Bangladesh,Shere Bangla National Stadium,not out,91*,7,0,106,85.85
71,12-05-2007,Bangladesh,Shere Bangla National Stadium,c Mushfiqur Rahim b Mohammad Rafique,36,4,0,54,66.67
72,06-06-2007,ACA Africa XI,M Chinnaswamy Stadium,run out,2,0,0,4,50
73,09-06-2007,ACA Africa XI,MA Chidambaram Stadium,b J Morkel,33,2,2,38,86.84
74,10-06-2007,ACA Africa XI,MA Chidambaram Stadium,not out,139*,15,5,97,143.3
75,29-06-2007,South Africa,Civil Service Cricket Club,b M Ntini,0,0,0,4,0
76,01-07-2007,South Africa,Civil Service Cricket Club,not out,14*,2,0,11,127.27
77,16-08-2007,Scotland,Titwood,,DNB,,,,
78,21-08-2007,England,The Rose Bowl,c M Prior b A Flintoff,19,1,0,60,31.67
79,24-08-2007,England,County Ground (Bristol),c C Tremlett b J Anderson,21,3,0,18,116.67
80,27-08-2007,England,Edgbaston,c P Collingwood b J Anderson,13,0,0,20,65
81,30-08-2007,England,Old Trafford,b M Panesar,13,1,0,18,72.22
82,02-09-2007,England,Headingley,c M Prior b J Anderson,24,3,0,17,141.18
83,05-09-2007,England,Kennington Oval,b S Broad,35,3,0,37,94.59
84,08-09-2007,England,Lord's,c J Anderson b A Flintoff,50,4,1,72,69.44
85,29-09-2007,Australia,M Chinnaswamy Stadium,,DNB,,,,
86,02-10-2007,Australia,Nehru Stadium (Kochi),c B Hodge b G Hogg,58,2,2,88,65.91
87,05-10-2007,Australia,Rajiv Gandhi International Stadium,c A Gilchrist b B Lee,33,4,0,37,89.19
88,08-10-2007,Australia,Sector 16 Stadium,not out,50*,5,1,35,142.86
89,11-10-2007,Australia,Reliance Stadium,c A Gilchrist b M Johnson,4,1,0,7,57.14
90,14-10-2007,Australia,Vidarbha Cricket Association Ground,c R Ponting b M Johnson,26,2,1,29,89.66
91,17-10-2007,Australia,Wankhede Stadium,c A Gilchrist b N Bracken,5,1,0,11,45.45
92,05-11-2007,Pakistan,Nehru Stadium (Guwahati),c Kamran Akmal b Shoaib Akhtar,63,8,0,77,81.82
93,08-11-2007,Pakistan,Punjab Cricket Association Stadium,c Kamran Akmal b Shoaib Akhtar,4,0,0,10,40
94,11-11-2007,Pakistan,Green Park,b Shoaib Akhtar,49,4,2,52,94.23
95,15-11-2007,Pakistan,Captain Roop Singh Stadium,not out,45*,3,1,45,100
96,18-11-2007,Pakistan,Sawai Mansingh Stadium,c Imran Nazir b Shoaib Malik,24,1,0,32,75
97,03-02-2008,Australia,Brisbane Cricket Ground,c R Ponting b B Lee,37,1,0,61,60.66
98,04-02-2008,Sri Lanka,Brisbane Cricket Ground,not out,88*,5,1,95,92.63
99,10-02-2008,Australia,Melbourne Cricket Ground,not out,17*,0,0,54,31.48
100,12-02-2008,Sri Lanka,Manuka Oval,run out,31,3,0,26,119.23
101,17-02-2008,Australia,Adelaide Oval,run out,37,1,0,50,74
102,19-02-2008,Sri Lanka,Adelaide Oval,not out,50*,0,0,68,73.53
103,24-02-2008,Australia,Sydney Cricket Ground,c A Gilchrist b B Lee,36,4,0,66,54.55
104,26-02-2008,Sri Lanka,Bellerive Oval,,DNB,,,,
105,02-03-2008,Australia,Sydney Cricket Ground,not out,15*,3,0,12,125
106,04-03-2008,Australia,Brisbane Cricket Ground,c M Clarke b N Bracken,36,2,1,37,97.3
107,10-06-2008,Pakistan,Shere Bangla National Stadium,lbw b Sohail Tanvir,24,5,0,23,104.35
108,12-06-2008,Bangladesh,Shere Bangla National Stadium,,DNB,,,,
109,14-06-2008,Pakistan,Shere Bangla National Stadium,c sub b Shahid Afridi,64,3,2,59,108.47
110,25-06-2008,Hong Kong,National Stadium,not out,109*,6,6,96,113.54
111,26-06-2008,Pakistan,National Stadium,not out,26*,0,1,30,86.67
112,28-06-2008,Bangladesh,National Stadium,,DNB,,,,
113,02-07-2008,Pakistan,National Stadium,c Sarfraz Ahmed b Sohail Tanvir,76,4,0,96,79.17
114,03-07-2008,Sri Lanka,National Stadium,b M Muralitharan,67,5,1,62,108.06
115,06-07-2008,Sri Lanka,National Stadium,c K Sangakkara b W Vaas,49,4,0,74,66.22
116,18-08-2008,Sri Lanka,Rangiri Dambulla International Stadium,c D Jayawardene b B Mendis,6,0,0,28,21.43
117,20-08-2008,Sri Lanka,Rangiri Dambulla International Stadium,b C Fernando,39,3,0,54,72.22
118,24-08-2008,Sri Lanka,R Premadasa Stadium,c D Jayawardene b B Mendis,76,8,0,80,95
119,27-08-2008,Sri Lanka,R Premadasa Stadium,c S Jayasuriya b T Thushara,71,4,0,80,88.75
120,29-08-2008,Sri Lanka,R Premadasa Stadium,b C Fernando,1,0,0,7,14.29
121,14-11-2008,England,Madhavrao Scindia Cricket Ground,b S Harmison,39,3,1,32,121.88
122,17-11-2008,England,Holkar Cricket Stadium,b P Collingwood,15,1,0,26,57.69
123,20-11-2008,England,Green Park,not out,29*,4,0,51,56.86
124,23-11-2008,England,M Chinnaswamy Stadium,b S Patel,9,0,1,5,180
125,26-11-2008,England,Barabati Stadium,lbw b G Swann,50,5,0,61,81.97
126,28-01-2009,Sri Lanka,Rangiri Dambulla International Stadium,not out,61*,5,0,65,93.85
127,31-01-2009,Sri Lanka,R Premadasa Stadium,c K Sangakkara b M Maharoof,23,0,0,35,65.71
128,03-02-2009,Sri Lanka,R Premadasa Stadium,not out,35*,1,0,45,77.78
129,05-02-2009,Sri Lanka,R Premadasa Stadium,c C Fernando b S Jayasuriya,94,4,2,96,97.92
130,08-02-2009,Sri Lanka,R Premadasa Stadium,c K Kulasekara b S Jayasuriya,53,1,2,58,91.38
131,03-03-2009,New Zealand,McLean Park,not out,84*,6,0,89,94.38
132,06-03-2009,New Zealand,Westpac Stadium,not out,23*,2,0,19,121.05
133,08-03-2009,New Zealand,AMI Stadium,c P McGlashan b K Mills,68,5,2,58,117.24
134,11-03-2009,New Zealand,Seddon Park,,DNB,,,,
135,14-03-2009,New Zealand,Eden Park,b J Ryder,9,1,0,21,42.86
136,26-06-2009,West Indies,Sabina Park,run out,41,2,1,46,89.13
137,28-06-2009,West Indies,Sabina Park,b J Taylor,95,6,2,130,73.08
138,03-07-2009,West Indies,Beausejour Cricket Ground,not out,46*,2,1,34,135.29
139,05-07-2009,West Indies,Beausejour Cricket Ground,,DNB,,,,
140,11-09-2009,New Zealand,R Premadasa Stadium,not out,35*,4,0,65,53.85
141,12-09-2009,Sri Lanka,R Premadasa Stadium,b A Mathews,8,0,0,18,44.44
142,14-09-2009,Sri Lanka,R Premadasa Stadium,c S Kandamby b S Malinga,56,3,0,62,90.32
143,26-09-2009,Pakistan,SuperSport Park,lbw b Shahid Afridi,3,0,0,9,33.33
144,28-09-2009,Australia,SuperSport Park,,DNB,,,,
145,30-09-2009,West Indies,The Wanderers Stadium,,DNB,,,,
146,25-10-2009,Australia,Reliance Stadium,c B Lee b S Watson,34,4,0,46,73.91
147,28-10-2009,Australia,Vidarbha Cricket Association Stadium,c T Paine b M Johnson,124,9,3,107,115.89
148,31-10-2009,Australia,Feroz Shah Kotla,not out,71*,6,0,95,74.74
149,02-11-2009,Australia,Punjab Cricket Association Stadium,c G Manou b D Bollinger,26,2,0,46,56.52
150,05-11-2009,Australia,Rajiv Gandhi International Stadium,c A Voges b C McKay,6,0,0,15,40
151,08-11-2009,Australia,Nehru Stadium (Guwahati),lbw b D Bollinger,24,1,0,77,31.17
152,15-12-2009,Sri Lanka,Madhavrao Scindia Cricket Ground,c A Mathews b C Fernando,72,7,3,53,135.85
153,18-12-2009,Sri Lanka,Vidarbha Cricket Association Stadium,c T Dilshan b S Randiv,107,8,2,111,96.4
154,27-12-2009,Sri Lanka,Feroz Shah Kotla,,DNB,,,,
155,05-01-2010,Sri Lanka,Shere Bangla National Stadium,c K Sangakkara b N Perera,37,3,0,70,52.86
156,07-01-2010,Bangladesh,Shere Bangla National Stadium,not out,101*,9,0,107,94.39
157,10-01-2010,Sri Lanka,Shere Bangla National Stadium,,DNB,,,,
158,11-01-2010,Bangladesh,Shere Bangla National Stadium,c Imrul Kayes b Shakib Al Hasan,32,3,0,35,91.43
159,13-01-2010,Sri Lanka,Shere Bangla National Stadium,c K Sangakkara b K Kulasekara,14,3,0,19,73.68
160,21-02-2010,South Africa,Sawai Mansingh Stadium,c J Morkel b J Kallis,26,2,0,29,89.66
161,24-02-2010,South Africa,Captain Roop Singh Stadium,not out,68*,7,4,35,194.29
162,27-02-2010,South Africa,Sardar Patel Stadium,c M Boucher b D Steyn,9,0,1,7,128.57
163,16-06-2010,Bangladesh,Rangiri Dambulla International Stadium,not out,38*,3,1,45,84.44
164,19-06-2010,Pakistan,Rangiri Dambulla International Stadium,b Shoaib Malik,56,2,1,71,78.87
165,22-06-2010,Sri Lanka,Rangiri Dambulla International Stadium,run out,41,6,0,53,77.36
166,24-06-2010,Sri Lanka,Rangiri Dambulla International Stadium,c K Kulasekara b S Kandamby,38,2,1,50,76
167,10-08-2010,New Zealand,Rangiri Dambulla International Stadium,run out,2,0,0,9,22.22
168,16-08-2010,Sri Lanka,Rangiri Dambulla International Stadium,not out,23*,2,0,38,60.53
169,21-08-2010,Sri Lanka,Rangiri Dambulla International Stadium,c K Sangakkara b N Perera,10,2,0,16,62.5
170,25-08-2010,New Zealand,Rangiri Dambulla International Stadium,c G Hopkins b N McCullum,38,3,0,75,50.67
171,28-08-2010,Sri Lanka,Rangiri Dambulla International Stadium,b S Randiv,67,5,1,100,67
172,20-10-2010,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,b J Hastings,0,0,0,1,0
173,12-01-2011,South Africa,Kingsmead,run out,25,1,0,35,71.43
174,15-01-2011,South Africa,The Wanderers Stadium,b L Tsotsobe,38,1,0,61,62.3
175,18-01-2011,South Africa,Newlands,c A de Villiers b J Botha,5,1,0,12,41.67
176,21-01-2011,South Africa,St George's Park,c F du Plessis b R Peterson,2,0,0,8,25
177,23-01-2011,South Africa,SuperSport Park,c G Smith b M Morkel,5,1,0,10,50
178,19-02-2011,Bangladesh,Shere Bangla National Stadium,,DNB,,,,
179,27-02-2011,England,M Chinnaswamy Stadium,c sub b T Bresnan,31,3,1,25,124
180,06-03-2011,Ireland,M Chinnaswamy Stadium,lbw b G Dockrell,34,2,0,50,68
181,09-03-2011,Netherlands,Feroz Shah Kotla,not out,19*,2,0,40,47.5
182,12-03-2011,South Africa,Vidarbha Cricket Association Stadium,not out,12*,0,0,21,57.14
183,20-03-2011,West Indies,MA Chidambaram Stadium,st D Thomas b D Bishoo,22,1,0,30,73.33
184,24-03-2011,Australia,Sardar Patel Stadium,c M Clarke b B Lee,7,1,0,8,87.5
185,30-03-2011,Pakistan,Punjab Cricket Association Stadium,lbw b Wahab Riaz,25,2,0,42,59.52
186,02-04-2011,Sri Lanka,Wankhede Stadium,not out,91*,8,2,79,115.19
187,03-09-2011,England,Riverside Ground,c C Kieswetter b T Bresnan,33,2,0,36,91.67
188,06-09-2011,England,The Rose Bowl,c I Bell b T Bresnan,6,1,0,5,120
189,09-09-2011,England,Kennington Oval,c A Cook b T Bresnan,69,5,0,103,66.99
